sample_id,mission,drug_name,formulation,dosage,days_expired,manufacturer,packaging,start_date,end_date,days_in_space,total_exposure_hours,radiation_measurements_count,radiation_coverage_percent,mean_dose_rate_uGy_h,mean_daily_dose_rate_uGy_d,median_dose_rate_uGy_h,std_dose_rate_uGy_h,min_dose_rate_uGy_h,max_dose_rate_uGy_h,estimated_cumulative_iss_dose_mGy,dosimetry_nature,pubchem_cid,molecular_weight_gmol,xlogp,tpsa_angstrom2,rotatable_bonds,hbond_donors,hbond_acceptors,heavy_atom_count,molecular_complexity,inchikey,isomeric_smiles,flight_percent_api_remaining,ground_control_percent_api_remaining,relative_percent_diff_vs_control,outcome_extraction_status,sd_ground_control_api,sd_flight_api,anova_p_value_exposure,outcome_source,outcome_extraction_method
DS01_01,SpX-15,Caffeine,Tablet,200 mg,1584,Major,Amber ziplock (JSC),2018-07-02,2019-01-17,199,4776.0,354953,99.79,29.7908,714.98,5.3019,82.1209,1.14,775.0404,142.281,Environmental ISS ambient estimate (not direct sample dosimeter),2519,194.19,-0.1,58.4,0,0,3,14,293.0,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,96.2,101.5,-5.22,EXTRACTED_AND_VERIFIED,2.1,2.4,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_02,SpX-15,Diphenhydramine,Capsule,25 mg,1096,Major,Blister pack (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,93.4,99.8,-6.41,EXTRACTED_AND_VERIFIED,1.9,2.2,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_03,SpX-15,Diphenhydramine,Solution,50 mg/mL,1523,West-Ward,Single-dose vial (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,95.8,102.1,-6.17,EXTRACTED_AND_VERIFIED,2.3,2.5,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_04,SpX-15,Epinephrine,Autoinjector,0.1 mg/mL,1614,Hospira,Syringe (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),5816,183.2,-1.4,72.7,3,4,4,13,154.0,UCTWMZQNUQWSLP-VIFPVBQESA-N,,92.1,98.6,-6.59,EXTRACTED_AND_VERIFIED,2.0,2.1,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_05,SpX-15,Lidocaine,Solution,10 mg/mL,1523,Fresenius Kabi,Multi-dose vial (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),3676,234.34,2.3,32.3,5,1,2,17,228.0,NNJVILVZKWQKPM-UHFFFAOYSA-N,,93.8,94.2,-0.42,EXTRACTED_AND_VERIFIED,2.5,2.7,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_06,SpX-15,Naloxone,Solution,1 mg/mL,1462,International Mediation Systems,Syringe (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),5284596,327.4,2.1,70.0,2,2,5,24,594.0,UZHSEJADLWPNLE-GRGSLBFTSA-N,,91.9,93.5,-1.71,EXTRACTED_AND_VERIFIED,2.8,3.1,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_07,SpX-15,Promethazine,Solution,25 mg/mL,1554,West-Ward,Single-dose vial (MFR),2018-07-02,2019-08-30,424,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,95.4,96.8,-1.45,EXTRACTED_AND_VERIFIED,2.2,2.4,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_08,SpX-15,Promethazine,Tablet,25 mg,1676,McKesson,Blister pack (MFR),2018-07-02,2019-01-17,199,4776.0,354953,99.79,29.7908,714.98,5.3019,82.1209,1.14,775.0404,142.281,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,94.1,95.2,-1.16,EXTRACTED_AND_VERIFIED,2.0,2.3,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_09,SpX-16,Caffeine,Tablet,200 mg,853,Walgreens,Amber ziplock (JSC),2018-12-08,2019-08-30,265,6360.0,481689,100.0,31.9796,767.51,5.3596,88.516,1.14,778.4121,203.39,Environmental ISS ambient estimate (not direct sample dosimeter),2519,194.19,-0.1,58.4,0,0,3,14,293.0,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,93.9,94.7,-0.84,EXTRACTED_AND_VERIFIED,2.4,2.6,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_10,SpX-16,Promethazine,Tablet,25 mg,1310,Amneal,Blister pack (MFR),2018-12-08,2019-08-30,265,6360.0,481689,100.0,31.9796,767.51,5.3596,88.516,1.14,778.4121,203.39,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,99.1,92.4,7.25,EXTRACTED_AND_VERIFIED,2.6,2.9,P=0.0286,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
