mission,launch_date,medication,formulation,dosage,days_in_space,days_expired,manufacturer,packaging
SpX-15,2018-06-29,Caffeine,Tablet,200 mg,199,1584,Major,Amber ziplock (JSC)
SpX-15,2018-06-29,Diphenhydramine,Capsule,25 mg,424,1096,Major,Blister pack (MFR)
SpX-15,2018-06-29,Diphenhydramine,Solution,50 mg/mL,424,1523,West-Ward,Single-dose vial (MFR)
SpX-15,2018-06-29,Epinephrine,Autoinjector,0.1 mg/mL,424,1614,Hospira,Syringe (MFR)
SpX-15,2018-06-29,Lidocaine,Solution,10 mg/mL,424,1523,Fresenius Kabi,Multi-dose vial (MFR)
SpX-15,2018-06-29,Naloxone,Solution,1 mg/mL,424,1462,International Mediation Systems,Syringe (MFR)
SpX-15,2018-06-29,Promethazine,Solution,25 mg/mL,424,1554,West-Ward,Single-dose vial (MFR)
SpX-15,2018-06-29,Promethazine,Tablet,25 mg,199,1676,McKesson,Blister pack (MFR)
SpX-16,2018-12-05,Caffeine,Tablet,200 mg,265,853,Walgreens,Amber ziplock (JSC)
SpX-16,2018-12-05,Promethazine,Tablet,25 mg,265,1310,Amneal,Blister pack (MFR)
SpX-17,2019-05-04,Epinephrine,Autoinjector,0.1 mg/mL,248,1338,Hospira,Syringe (MFR)
NG-11,2019-04-17,Diphenhydramine,Solution,50 mg/mL,132,1065,Hikma,Single-dose vial (MFR)
NG-11,2019-04-17,Lidocaine,Solution,10 mg/mL,132,945,Fresenius Kabi,Multi-dose vial (MFR)
NG-11,2019-04-17,Promethazine,Solution,25 mg/mL,132,1096,Hikma,Single-dose vial (MFR)
SpX-18,2019-07-25,Caffeine,Tablet,200 mg,166,670,Walgreens,Amber ziplock (JSC)
SpX-18,2019-07-25,Diazepam,Solution,5 mg/mL,166,1278,Hospira,Multi-dose vial (MFR)
SpX-18,2019-07-25,Diphenhydramine,Capsule,25 mg,257,731,Major,Blister pack (MFR)
SpX-18,2019-07-25,Diphenhydramine,Solution,50 mg/mL,257,1065,Hikma,Single-dose vial (MFR)
SpX-18,2019-07-25,Ketamine,Solution,50 mg/mL,257,823,Mylan,Multi-dose vial (MFR)
SpX-18,2019-07-25,Lidocaine,Solution,10 mg/mL,257,670,Fresenius Kabi,Multi-dose vial (MFR)
SpX-18,2019-07-25,Naloxone,Solution,1 mg/mL,257,1096,International Mediation Systems,Syringe (MFR)
SpX-18,2019-07-25,Promethazine,Solution,25 mg/mL,257,1096,Hikma,Single-dose vial (MFR)
SpX-18,2019-07-25,Promethazine,Tablet,25 mg,257,1157,McKesson,Blister pack (MFR)
SpX-20,2020-03-07,Caffeine,Tablet,200 mg,313,549,Walgreens,Amber ziplock (JSC)
SpX-20,2020-03-07,Diazepam,Solution,5 mg/mL,972,930,Hospira,Multi-dose vial (MFR)
SpX-20,2020-03-07,Diphenhydramine,Capsule,25 mg,490,580,Major,Blister pack (MFR)
SpX-20,2020-03-07,Diphenhydramine,Solution,50 mg/mL,490,823,Fresenius Kabi,Single-dose vial (MFR)
SpX-20,2020-03-07,Ketamine,Solution,50 mg/mL,490,670,Mylan,Multi-dose vial (MFR)
SpX-20,2020-03-07,Lidocaine,Solution,10 mg/mL,490,670,Fresenius Kabi,Multi-dose vial (MFR)
SpX-20,2020-03-07,Naloxone,Solution,1 mg/mL,573,731,International Mediation Systems,Syringe (MFR)
SpX-20,2020-03-07,Promethazine,Solution,25 mg/mL,490,792,Hikma,Single-dose vial (MFR)
SpX-20,2020-03-07,Promethazine,Tablet,25 mg,313,1065,McKesson,Blister pack (MFR)
