sample_id,mission,drug_name,formulation,days_in_space,start_date,end_date,total_exposure_hours,number_of_measurements,radiation_coverage_percent,mean_dose_rate_uGy_h,mean_daily_dose_rate_uGy_d,median_dose_rate_uGy_h,std_dose_rate_uGy_h,min_dose_rate_uGy_h,max_dose_rate_uGy_h,estimated_cumulative_iss_dose_mGy,dosimetry_method,dosimetry_nature
DS01_01,SpX-15,Caffeine,Tablet,199,2018-07-02,2019-01-17,4776.0,354953,99.79,29.7908,714.98,5.3019,82.1209,1.14,775.0404,142.281,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_02,SpX-15,Diphenhydramine,Capsule,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_03,SpX-15,Diphenhydramine,Solution,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_04,SpX-15,Epinephrine,Autoinjector,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_05,SpX-15,Lidocaine,Solution,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_06,SpX-15,Naloxone,Solution,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_07,SpX-15,Promethazine,Solution,424,2018-07-02,2019-08-30,10176.0,764097,99.9,31.134,747.22,5.3409,86.1137,1.14,778.4121,316.819,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_08,SpX-15,Promethazine,Tablet,199,2018-07-02,2019-01-17,4776.0,354953,99.79,29.7908,714.98,5.3019,82.1209,1.14,775.0404,142.281,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_09,SpX-16,Caffeine,Tablet,265,2018-12-08,2019-08-30,6360.0,481689,100.0,31.9796,767.51,5.3596,88.516,1.14,778.4121,203.39,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_10,SpX-16,Promethazine,Tablet,265,2018-12-08,2019-08-30,6360.0,481689,100.0,31.9796,767.51,5.3596,88.516,1.14,778.4121,203.39,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_11,SpX-17,Epinephrine,Autoinjector,248,2019-05-06,2020-01-09,5952.0,323828,94.33,33.1951,796.68,5.401,91.8407,1.2074,778.4121,197.577,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_12,NG-11,Diphenhydramine,Solution,132,2019-04-19,2019-08-29,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_13,NG-11,Lidocaine,Solution,132,2019-04-19,2019-08-29,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_14,NG-11,Promethazine,Solution,132,2019-04-19,2019-08-29,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
