sample_id,mission,medication,formulation,dosage,source_identifier,outcome_variable,flight_api_percent,ground_control_api_percent,relative_percent_diff_vs_control,outcome_unit,outcome_source,extraction_method,extraction_confidence,p_value_exposure_effect
DS01_01,SpX-15,Caffeine,Tablet,200 mg,Nowadly 2026 Figure 2A,percent_api_remaining_of_label,96.2,101.5,-5.22,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_02,SpX-15,Diphenhydramine,Capsule,25 mg,Nowadly 2026 Figure 2B,percent_api_remaining_of_label,95.4,96.8,-1.45,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_03,SpX-15,Diphenhydramine,Solution,50 mg/mL,Nowadly 2026 Figure 3B,percent_api_remaining_of_label,99.1,92.4,7.25,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0286
DS01_04,SpX-15,Epinephrine,Autoinjector,0.1 mg/mL,Nowadly 2026 Figure 3C,percent_api_remaining_of_label,74.2,84.6,-12.29,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P<0.0001
DS01_05,SpX-15,Lidocaine,Solution,10 mg/mL,Nowadly 2026 Figure 3E,percent_api_remaining_of_label,95.1,98.5,-3.45,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0125
DS01_06,SpX-15,Naloxone,Solution,1 mg/mL,Nowadly 2026 Figure 2A,percent_api_remaining_of_label,93.4,99.8,-6.41,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_07,SpX-15,Promethazine,Solution,25 mg/mL,Nowadly 2026 Figure 3F,percent_api_remaining_of_label,93.1,96.4,-3.42,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0080
DS01_08,SpX-15,Promethazine,Tablet,25 mg,Nowadly 2026 Figure 2C,percent_api_remaining_of_label,99.5,103.2,-3.59,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0001
DS01_09,SpX-16,Caffeine,Tablet,200 mg,Nowadly 2026 Figure 3G,percent_api_remaining_of_label,77.2,79.5,-2.89,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),ns
DS01_10,SpX-16,Promethazine,Tablet,25 mg,Nowadly 2026 Figure 2C,percent_api_remaining_of_label,98.9,102.8,-3.79,% of labeled claim,"Nowadly et al. 2026 (Figures 2 & 3, UHPLC-MS/MS assays)",High-resolution coordinate digitization of published assay figures,HIGH (calibrated against 80-120% and 95-105% a priori reference lines),P=0.0001
