lot_id,api,mission,days_in_space,delta_api_percent,telemetry_coverage_pct,temp_mean_c,temp_min_c,temp_max_c,temp_sd_c,temp_p95_c,humidity_mean_pct,humidity_min_pct,humidity_max_pct,humidity_sd_pct,co2_mean_ppm,co2_max_ppm,co2_sd_ppm,co2_p95_ppm,spatial_relevance_grade,source,confidence
DS01_01,Caffeine,SpX-15,199,-5.2217,76.66,22.61,20.0,30.0,0.88,23.6,41.56,28.0,79.0,3.64,3503.75,9000.0,1514.28,7435.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_02,Diphenhydramine,SpX-15,424,-1.4463,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_03,Diphenhydramine,SpX-15,424,7.2511,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_04,Epinephrine,SpX-15,424,-12.2931,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_05,Lidocaine,SpX-15,424,-3.4518,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_06,Naloxone,SpX-15,424,-3.4232,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_07,Promethazine,SpX-15,424,-2.8931,45.55,22.49,17.6,30.0,0.92,23.6,41.42,12.0,79.0,3.55,3216.2,9000.0,1308.43,6506.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_08,Promethazine,SpX-15,199,-3.5853,76.66,22.61,20.0,30.0,0.88,23.6,41.56,28.0,79.0,3.64,3503.75,9000.0,1514.28,7435.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_09,Caffeine,SpX-16,265,-6.4128,15.44,22.04,17.6,27.9,0.92,23.0,41.17,12.0,62.0,3.37,2680.66,3668.0,434.87,3246.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_10,Promethazine,SpX-16,265,-3.7938,15.44,22.04,17.6,27.9,0.92,23.0,41.17,12.0,62.0,3.37,2680.66,3668.0,434.87,3246.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
DS01_11,Epinephrine,SpX-17,248,-11.1498,24.02,21.96,14.3,26.0,0.72,23.2,41.56,27.0,62.0,3.2,2571.93,3668.0,364.46,3170.0,Grade C/D (ISS Cabin / Rodent Research Express Rack proxy),NASA OSDR Environmental Data Application (EDA),MEDIUM (Verified ECLSS sensor stream; partial temporal coverage)
