lot_id,api,mission,formulation,formulation_class,is_solid,dosage,packaging,manufacturer,launch_datetime,docking_datetime,departure_datetime,landing_datetime,days_in_space,iss_storage_days,days_expired,radiation_coverage_pct,cumulative_dose_sensor1_mGy,cumulative_dose_sensor2_mGy,cumulative_dose_combined_mGy,mean_dose_rate_uGy_h,median_dose_rate_uGy_h,max_dose_rate_uGy_h,p95_dose_rate_uGy_h,dose_rate_sd_uGy_h,pubchem_cid,molecular_weight,xlogp,tpsa,hbd,hba,rotatable_bonds,heavy_atom_count,complexity,flight_percent_api_remaining,ground_control_percent_api_remaining,delta_api_percent,stability_ratio_percent,sd_flight,sd_ground,anova_p_value,figure_source,outcome_confidence,exposure_confidence,radiation_confidence,spatial_relevance_grade,data_provenance_class
DS01_01,Caffeine,SpX-15,Tablet,Solid,1,200 mg,Amber ziplock (JSC),Major,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-01-13 23:33:00,2019-01-14 05:10:00,199,195.53,1584,99.79,53.1684,48.7493,51.6896,29.3271,5.28,775.0404,194.426,81.3636,2519,194.19,-0.1,58.4,0,3,0,14,293,96.2,101.5,-5.2217,94.7783,2.4,2.1,ns,Figure 2A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_02,Diphenhydramine,SpX-15,Capsule,Solid,1,25 mg,Blister pack (MFR),Major,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1096,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,3100,255.35,3.3,12.5,0,2,6,19,211,95.4,96.8,-1.4463,98.5537,2.4,2.2,ns,Figure 2B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_03,Diphenhydramine,SpX-15,Solution,Nonsolid,0,50 mg/mL,Single-dose vial (MFR),West-Ward,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1523,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,3100,255.35,3.3,12.5,0,2,6,19,211,99.1,92.4,7.2511,107.2511,2.9,2.6,P=0.0286,Figure 3B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_04,Epinephrine,SpX-15,Autoinjector,Nonsolid,0,0.1 mg/mL,Syringe (MFR),Hospira,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1614,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,5816,183.2,-1.4,72.7,4,4,3,13,154,74.2,84.6,-12.2931,87.7069,4.1,3.5,P<0.0001,Figure 3C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_05,Lidocaine,SpX-15,Solution,Nonsolid,0,10 mg/mL,Multi-dose vial (MFR),Fresenius Kabi,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1523,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,3676,234.34,2.3,32.3,1,2,5,17,228,95.1,98.5,-3.4518,96.5482,2.3,2.1,P=0.0125,Figure 3E,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_06,Naloxone,SpX-15,Solution,Nonsolid,0,1 mg/mL,Syringe (MFR),International Mediation Systems,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1462,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,5284596,327.4,2.1,70.0,2,5,2,24,594,93.1,96.4,-3.4232,96.5768,2.7,2.3,P=0.0080,Figure 3F,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_07,Promethazine,SpX-15,Solution,Nonsolid,0,25 mg/mL,Single-dose vial (MFR),West-Ward,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,421.17,1554,99.9,117.7493,108.2357,113.8483,30.6311,5.3178,778.4121,204.8042,85.3074,4927,284.4,4.8,31.8,0,3,3,20,298,77.2,79.5,-2.8931,97.1069,3.6,3.4,ns,Figure 3G,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_08,Promethazine,SpX-15,Tablet,Solid,1,25 mg,Blister pack (MFR),McKesson,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-01-13 23:33:00,2019-01-14 05:10:00,199,195.53,1676,99.79,53.1684,48.7493,51.6896,29.3271,5.28,775.0404,194.426,81.3636,4927,284.4,4.8,31.8,0,3,3,20,298,99.5,103.2,-3.5853,96.4147,2.3,2.1,P=0.0001,Figure 2C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_09,Caffeine,SpX-16,Tablet,Solid,1,200 mg,Amber ziplock (JSC),Walgreens,2018-12-05 18:16:00,2018-12-08 12:37:00,2019-08-27 14:59:00,2019-08-27 20:20:00,265,262.1,853,100.0,75.4076,69.2133,72.4564,31.4552,5.3367,778.4121,211.8877,87.6935,2519,194.19,-0.1,58.4,0,3,0,14,293,93.4,99.8,-6.4128,93.5872,2.2,1.9,ns,Figure 2A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_10,Promethazine,SpX-16,Tablet,Solid,1,25 mg,Blister pack (MFR),Amneal,2018-12-05 18:16:00,2018-12-08 12:37:00,2019-08-27 14:59:00,2019-08-27 20:20:00,265,262.1,1310,100.0,75.4076,69.2133,72.4564,31.4552,5.3367,778.4121,211.8877,87.6935,4927,284.4,4.8,31.8,0,3,3,20,298,98.9,102.8,-3.7938,96.2062,2.4,2.0,P=0.0001,Figure 2C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_11,Epinephrine,SpX-17,Autoinjector,Nonsolid,0,0.1 mg/mL,Syringe (MFR),Hospira,2019-05-04 06:48:00,2019-05-06 11:01:00,2020-01-07 10:05:00,2020-01-07 15:41:00,248,245.96,1338,94.36,36.0946,64.0363,65.5647,32.772,5.3842,778.4121,222.061,91.2096,5816,183.2,-1.4,72.7,4,4,3,13,154,76.5,86.1,-11.1498,88.8502,3.8,3.2,P<0.0001,Figure 3C,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_12,Diphenhydramine,NG-11,Solution,Nonsolid,0,50 mg/mL,Single-dose vial (MFR),Hikma,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,109.08,1065,100.0,38.5359,35.3996,37.0078,32.5613,5.369,778.4121,219.8747,91.0284,3100,255.35,3.3,12.5,0,2,6,19,211,100.8,93.1,8.2707,108.2707,2.7,2.4,P=0.0286,Figure 3B,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_13,Lidocaine,NG-11,Solution,Nonsolid,0,10 mg/mL,Multi-dose vial (MFR),Fresenius Kabi,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,109.08,945,100.0,38.5359,35.3996,37.0078,32.5613,5.369,778.4121,219.8747,91.0284,3676,234.34,2.3,32.3,1,2,5,17,228,96.4,99.2,-2.8226,97.1774,2.2,1.9,P=0.0125,Figure 3E,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_14,Promethazine,NG-11,Solution,Nonsolid,0,25 mg/mL,Single-dose vial (MFR),Hikma,2019-04-17 20:46:00,2019-04-19 11:30:00,2019-08-06 13:30:00,2019-08-27 20:20:00,132,109.08,1096,100.0,38.5359,35.3996,37.0078,32.5613,5.369,778.4121,219.8747,91.0284,4927,284.4,4.8,31.8,0,3,3,20,298,78.1,80.2,-2.6185,97.3815,3.5,3.1,ns,Figure 3G,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_15,Caffeine,SpX-18,Tablet,Solid,1,200 mg,Amber ziplock (JSC),Walgreens,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-01-07 10:05:00,2020-01-07 15:41:00,166,163.87,670,91.55,12.0265,41.865,42.4334,33.0132,5.4074,776.8041,225.7847,91.2707,2519,194.19,-0.1,58.4,0,3,0,14,293,95.8,102.1,-6.1704,93.8296,2.5,2.3,ns,Figure 2A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
DS01_16,Diazepam,SpX-18,Solution,Nonsolid,0,5 mg/mL,Multi-dose vial (MFR),Hospira,2019-07-25 22:01:00,2019-07-27 13:11:00,2020-01-07 10:05:00,2020-01-07 15:41:00,166,163.87,1278,91.55,12.0265,41.865,42.4334,33.0132,5.4074,776.8041,225.7847,91.2707,3016,284.74,3.0,32.7,0,2,1,20,403,93.8,94.2,-0.4246,99.5754,2.7,2.5,ns,Figure 3A,HIGH (100% traceably matched to published assay figures and Table 1),HIGH (Launch-to-landing dates reconciled against NASA manifests),HIGH,Grade D (Columbus module DOSIS-3D telescope proxy),MEASURED_PHARMACEUTICAL_OUTCOME
