lot_id,api,mission,formulation,launch_date,launch_datetime,arrival_date,docking_datetime,arrival_event,departure_datetime,landing_datetime,iss_exposure_hours,reported_days_launch_to_landing,total_spaceflight_hours,total_hours_precision,reconstructed_landing_date,reconstruction_status,candidate_proxy_start_date,candidate_proxy_end_date,candidate_window_status,legacy_start_date,legacy_end_date,legacy_end_shift_days,days_expired_at_analysis,expiration_at_launch,expiration_at_analysis,storage_location,spatial_relevance_grade,source,source_url_or_identifier,arrival_source,confidence,notes
DS01_01,Caffeine,SpX-15,Tablet,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,199,4776,derived from published integer days; not exact timestamp duration,2019-01-14,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-01-14,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-01-17,3,1584,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_02,Diphenhydramine,SpX-15,Capsule,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1096,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_03,Diphenhydramine,SpX-15,Solution,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1523,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_04,Epinephrine,SpX-15,Autoinjector,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1614,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_05,Lidocaine,SpX-15,Solution,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1523,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_06,Naloxone,SpX-15,Solution,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1462,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_07,Promethazine,SpX-15,Solution,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,424,10176,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-08-30,3,1554,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_08,Promethazine,SpX-15,Tablet,2018-06-29,,2018-07-02,2018-07-02T13:52:00Z,robotic berthing; exact medication transfer time unknown,,,,199,4776,derived from published integer days; not exact timestamp duration,2019-01-14,launch date + reported integer days; NOT a verified landing,2018-07-02,2019-01-14,screening envelope only; includes unknown return transit and transfer periods,2018-07-02,2019-01-17,3,1676,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/spacestation/2018/07/page/2/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_09,Caffeine,SpX-16,Tablet,2018-12-05,,2018-12-08,2018-12-08T15:36:00Z,robotic berthing; exact medication transfer time unknown,,,,265,6360,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-12-08,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-12-08,2019-08-30,3,853,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/stationreport/2018/12/08/iss-daily-summary-report-12-08-2018/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
DS01_10,Promethazine,SpX-16,Tablet,2018-12-05,,2018-12-08,2018-12-08T15:36:00Z,robotic berthing; exact medication transfer time unknown,,,,265,6360,derived from published integer days; not exact timestamp duration,2019-08-27,launch date + reported integer days; NOT a verified landing,2018-12-08,2019-08-27,screening envelope only; includes unknown return transit and transfer periods,2018-12-08,2019-08-30,3,1310,within label expiration (paper),expired (paper),ISS HMS kit; exact module/hardware unknown,D,Nowadly 2026 Table 1; NASA mission record,https://doi.org/10.1177/10806032261466966,https://www.nasa.gov/blogs/stationreport/2018/12/08/iss-daily-summary-report-12-08-2018/,provisional; return vehicle and lot manifest unverified,Do not equate arrival vehicle departure with medication departure. SpX-16 berthing time approximate; SpX-18 NASA reports disagree on minute.
