lot_id,api,mission,formulation,formulation_class,is_solid,days_in_space,iss_storage_days,cumulative_dose_combined_mGy,mean_dose_rate_uGy_h,tpsa,xlogp,molecular_weight,hba,hbd,rotatable_bonds,heavy_atom_count,complexity,delta_api_percent,stability_ratio_percent,radiation_x_tpsa,radiation_x_xlogp
DS01_01,Caffeine,SpX-15,Tablet,Solid,1,199,195.53,51.6896,29.3271,58.4,-0.1,194.19,3,0,0,14,293,-5.2217,94.7783,3018.67264,-5.16896
DS01_02,Diphenhydramine,SpX-15,Capsule,Solid,1,424,421.17,113.8483,30.6311,12.5,3.3,255.35,2,0,6,19,211,-1.4463,98.5537,1423.10375,375.69938999999994
DS01_03,Diphenhydramine,SpX-15,Solution,Nonsolid,0,424,421.17,113.8483,30.6311,12.5,3.3,255.35,2,0,6,19,211,7.2511,107.2511,1423.10375,375.69938999999994
DS01_04,Epinephrine,SpX-15,Autoinjector,Nonsolid,0,424,421.17,113.8483,30.6311,72.7,-1.4,183.2,4,4,3,13,154,-12.2931,87.7069,8276.77141,-159.38761999999997
DS01_05,Lidocaine,SpX-15,Solution,Nonsolid,0,424,421.17,113.8483,30.6311,32.3,2.3,234.34,2,1,5,17,228,-3.4518,96.5482,3677.3000899999997,261.85108999999994
DS01_06,Naloxone,SpX-15,Solution,Nonsolid,0,424,421.17,113.8483,30.6311,70.0,2.1,327.4,5,2,2,24,594,-3.4232,96.5768,7969.380999999999,239.08143
DS01_07,Promethazine,SpX-15,Solution,Nonsolid,0,424,421.17,113.8483,30.6311,31.8,4.8,284.4,3,0,3,20,298,-2.8931,97.1069,3620.37594,546.4718399999999
DS01_08,Promethazine,SpX-15,Tablet,Solid,1,199,195.53,51.6896,29.3271,31.8,4.8,284.4,3,0,3,20,298,-3.5853,96.4147,1643.72928,248.11007999999998
DS01_09,Caffeine,SpX-16,Tablet,Solid,1,265,262.1,72.4564,31.4552,58.4,-0.1,194.19,3,0,0,14,293,-6.4128,93.5872,4231.45376,-7.245640000000001
DS01_10,Promethazine,SpX-16,Tablet,Solid,1,265,262.1,72.4564,31.4552,31.8,4.8,284.4,3,0,3,20,298,-3.7938,96.2062,2304.1135200000003,347.79072
DS01_11,Epinephrine,SpX-17,Autoinjector,Nonsolid,0,248,245.96,65.5647,32.772,72.7,-1.4,183.2,4,4,3,13,154,-11.1498,88.8502,4766.553690000001,-91.79057999999999
DS01_12,Diphenhydramine,NG-11,Solution,Nonsolid,0,132,109.08,37.0078,32.5613,12.5,3.3,255.35,2,0,6,19,211,8.2707,108.2707,462.5975,122.12574000000001
DS01_13,Lidocaine,NG-11,Solution,Nonsolid,0,132,109.08,37.0078,32.5613,32.3,2.3,234.34,2,1,5,17,228,-2.8226,97.1774,1195.35194,85.11794
DS01_14,Promethazine,NG-11,Solution,Nonsolid,0,132,109.08,37.0078,32.5613,31.8,4.8,284.4,3,0,3,20,298,-2.6185,97.3815,1176.84804,177.63744
DS01_15,Caffeine,SpX-18,Tablet,Solid,1,166,163.87,42.4334,33.0132,58.4,-0.1,194.19,3,0,0,14,293,-6.1704,93.8296,2478.11056,-4.24334
DS01_16,Diazepam,SpX-18,Solution,Nonsolid,0,166,163.87,42.4334,33.0132,32.7,3.0,284.74,2,0,1,20,403,-0.4246,99.5754,1387.5721800000001,127.30019999999999
DS01_17,Diphenhydramine,SpX-18,Capsule,Solid,1,257,255.0,68.2526,31.5192,12.5,3.3,255.35,2,0,6,19,211,-1.1555,98.8445,853.1575,225.23358
DS01_18,Diphenhydramine,SpX-18,Solution,Nonsolid,0,257,255.0,68.2526,31.5192,12.5,3.3,255.35,2,0,6,19,211,8.2789,108.2789,853.1575,225.23358
DS01_19,Ketamine,SpX-18,Solution,Nonsolid,0,257,255.0,68.2526,31.5192,29.1,2.2,237.72,2,1,2,16,269,-1.845,98.155,1986.15066,150.15572
DS01_20,Lidocaine,SpX-18,Solution,Nonsolid,0,257,255.0,68.2526,31.5192,32.3,2.3,234.34,2,1,5,17,228,-3.1665,96.8335,2204.55898,156.98098
DS01_21,Naloxone,SpX-18,Solution,Nonsolid,0,257,255.0,68.2526,31.5192,70.0,2.1,327.4,5,2,2,24,594,-3.4447,96.5553,4777.682,143.33046000000002
DS01_22,Promethazine,SpX-18,Solution,Nonsolid,0,257,255.0,68.2526,31.5192,31.8,4.8,284.4,3,0,3,20,298,-3.1686,96.8314,2170.43268,327.61248
DS01_23,Promethazine,SpX-18,Tablet,Solid,1,257,255.0,68.2526,31.5192,31.8,4.8,284.4,3,0,3,20,298,-3.668,96.332,2170.43268,327.61248
DS01_24,Caffeine,SpX-20,Tablet,Solid,1,313,309.15,81.1558,29.0311,58.4,-0.1,194.19,3,0,0,14,293,-6.5923,93.4077,4739.49872,-8.11558
DS01_25,Diazepam,SpX-20,Solution,Nonsolid,0,972,969.23,217.0879,31.151,32.7,3.0,284.74,2,0,1,20,403,-1.7112,98.2888,7098.77433,651.2637
DS01_26,Diphenhydramine,SpX-20,Capsule,Solid,1,490,486.18,133.8133,30.657,12.5,3.3,255.35,2,0,6,19,211,-0.8448,99.1552,1672.66625,441.58389
DS01_27,Diphenhydramine,SpX-20,Solution,Nonsolid,0,490,486.18,133.8133,30.657,12.5,3.3,255.35,2,0,6,19,211,6.2433,106.2433,1672.66625,441.58389
DS01_28,Ketamine,SpX-20,Solution,Nonsolid,0,490,486.18,133.8133,30.657,29.1,2.2,237.72,2,1,2,16,269,-2.9666,97.0334,3893.9670300000002,294.38926000000004
DS01_29,Lidocaine,SpX-20,Solution,Nonsolid,0,490,486.18,133.8133,30.657,32.3,2.3,234.34,2,1,5,17,228,-2.8542,97.1458,4322.1695899999995,307.77058999999997
DS01_30,Naloxone,SpX-20,Solution,Nonsolid,0,573,570.12,158.3981,30.9193,70.0,2.1,327.4,5,2,2,24,594,-3.47,96.53,11087.867,332.63601
DS01_31,Promethazine,SpX-20,Solution,Nonsolid,0,490,486.18,133.8133,30.657,31.8,4.8,284.4,3,0,3,20,298,-4.1719,95.8281,4255.26294,642.3038399999999
DS01_32,Promethazine,SpX-20,Tablet,Solid,1,313,309.15,81.1558,29.0311,31.8,4.8,284.4,3,0,3,20,298,-4.1992,95.8008,2580.75444,389.54784
