lot_id,api,mission,launch_datetime,docking_datetime,departure_datetime,landing_datetime,days_in_space,boundary_provenance,date_status,departure_issue
DS01_01,Caffeine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-01-13 23:33:00,2019-01-14 05:10:00,199,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_02,Diphenhydramine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_03,Diphenhydramine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_04,Epinephrine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_05,Lidocaine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_06,Naloxone,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_07,Promethazine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-08-27 14:59:00,2019-08-27 20:20:00,424,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_08,Promethazine,SpX-15,2018-06-29 09:42:00,2018-07-02 10:54:00,2019-01-13 23:33:00,2019-01-14 05:10:00,199,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_09,Caffeine,SpX-16,2018-12-05 18:16:00,2018-12-08 12:37:00,2019-08-27 14:59:00,2019-08-27 20:20:00,265,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_10,Promethazine,SpX-16,2018-12-05 18:16:00,2018-12-08 12:37:00,2019-08-27 14:59:00,2019-08-27 20:20:00,265,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
DS01_11,Epinephrine,SpX-17,2019-05-04 06:48:00,2019-05-06 11:01:00,2020-01-07 10:05:00,2020-01-07 15:41:00,248,Inherited V2; capture labeled docking; exact package transfer unverified,PROVISIONAL_BOUNDARY,False
