lot_id,cumulative_dose_sensor1_mGy,cumulative_dose_sensor2_mGy,cumulative_dose_combined_mGy,dosimeter_abs_diff_mGy,dosimeter_rel_diff_pct
DS01_01,53.1684,48.7493,51.6896,4.4192,8.67
DS01_02,117.7493,108.2357,113.8483,9.5137,8.42
DS01_03,117.7493,108.2357,113.8483,9.5137,8.42
DS01_04,117.7493,108.2357,113.8483,9.5137,8.42
DS01_05,117.7493,108.2357,113.8483,9.5137,8.42
DS01_06,117.7493,108.2357,113.8483,9.5137,8.42
DS01_07,117.7493,108.2357,113.8483,9.5137,8.42
DS01_08,53.1684,48.7493,51.6896,4.4192,8.67
DS01_09,75.4076,69.2133,72.4564,6.1943,8.57
DS01_10,75.4076,69.2133,72.4564,6.1943,8.57
DS01_11,36.0946,64.0363,65.5647,27.9418,55.81
DS01_12,38.5359,35.3996,37.0078,3.1363,8.48
DS01_13,38.5359,35.3996,37.0078,3.1363,8.48
DS01_14,38.5359,35.3996,37.0078,3.1363,8.48
DS01_15,12.0265,41.865,42.4334,29.8385,110.74
DS01_16,12.0265,41.865,42.4334,29.8385,110.74
DS01_17,12.0265,67.6842,68.2526,55.6578,139.65
DS01_18,12.0265,67.6842,68.2526,55.6578,139.65
DS01_19,12.0265,67.6842,68.2526,55.6578,139.65
DS01_20,12.0265,67.6842,68.2526,55.6578,139.65
DS01_21,12.0265,67.6842,68.2526,55.6578,139.65
DS01_22,12.0265,67.6842,68.2526,55.6578,139.65
DS01_23,12.0265,67.6842,68.2526,55.6578,139.65
DS01_24,0.0,81.1558,81.1558,81.1558,200.0
DS01_25,124.9766,203.7455,217.0879,78.7689,47.92
DS01_26,40.4839,131.6273,133.8133,91.1434,105.91
DS01_27,40.4839,131.6273,133.8133,91.1434,105.91
DS01_28,40.4839,131.6273,133.8133,91.1434,105.91
DS01_29,40.4839,131.6273,133.8133,91.1434,105.91
DS01_30,66.2676,154.8424,158.3981,88.5748,80.12
DS01_31,40.4839,131.6273,133.8133,91.1434,105.91
DS01_32,0.0,81.1558,81.1558,81.1558,200.0
