dataset,variable,source_organization,source_url,raw_file,download_utc,sha256,unit,sensor,sensor_location,spatial_relevance_grade,quality_flags,calibration,license,rows,start_utc,end_utc,median_step_seconds,missing_cells,unique_observed_times,conflicting_timestamps,download_status,duplicate_nonnull_records,min_value,max_value
RR-12,temperature,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-12/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-12_telemetry.json,2026-09-19T19:03:36.032465+00:00,0cb9ef135cc4e544d682e54b5c646d3e1d4ecc12df0df2253efb0bbcf3f255e8,degC,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,11785,2019-04-17 19:19:00+00:00,2019-05-28 18:19:00+00:00,300.0,0,11785,0,downloaded,0.0,17.6,27.9
RR-12,humidity,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-12/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-12_telemetry.json,2026-09-19T19:03:36.032465+00:00,0cb9ef135cc4e544d682e54b5c646d3e1d4ecc12df0df2253efb0bbcf3f255e8,%RH,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,11785,2019-04-17 19:19:00+00:00,2019-05-28 18:19:00+00:00,300.0,0,11785,0,downloaded,0.0,12.0,62.0
RR-12,co2,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-12/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-12_telemetry.json,2026-09-19T19:03:36.032465+00:00,0cb9ef135cc4e544d682e54b5c646d3e1d4ecc12df0df2253efb0bbcf3f255e8,ppm,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,11785,2019-04-17 19:19:00+00:00,2019-05-28 18:19:00+00:00,300.0,0,11785,0,downloaded,0.0,500.0,3668.0
RR-17,temperature,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-17/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-17_telemetry.json,2026-09-19T19:03:08.981351+00:00,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,degC,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,0,,,,,0,0,empty API response,,,
RR-17,humidity,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-17/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-17_telemetry.json,2026-09-19T19:03:08.981351+00:00,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,%RH,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,0,,,,,0,0,empty API response,,,
RR-17,co2,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-17/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-17_telemetry.json,2026-09-19T19:03:08.981351+00:00,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,ppm,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,0,,,,,0,0,empty API response,,,
RR-19,temperature,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-19/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-19_telemetry.json,2026-09-19T19:03:39.854853+00:00,eae3e1509327ec9277b29cc465f842f06a35516aa0f1962669afaafe9109a18a,degC,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,10193,2019-12-03 10:24:00+00:00,2020-01-07 20:10:00+00:00,300.0,0,10193,0,downloaded,0.0,14.3,26.0
RR-19,humidity,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-19/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-19_telemetry.json,2026-09-19T19:03:39.854853+00:00,eae3e1509327ec9277b29cc465f842f06a35516aa0f1962669afaafe9109a18a,%RH,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,10193,2019-12-03 10:24:00+00:00,2020-01-07 20:10:00+00:00,300.0,0,10193,0,downloaded,0.0,27.0,56.0
RR-19,co2,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-19/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-19_telemetry.json,2026-09-19T19:03:39.854853+00:00,eae3e1509327ec9277b29cc465f842f06a35516aa0f1962669afaafe9109a18a,ppm,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,10193,2019-12-03 10:24:00+00:00,2020-01-07 20:10:00+00:00,300.0,0,10193,0,downloaded,0.0,128.0,3581.0
RR-7,temperature,NASA OSDR EDA,https://visualization.osdr.nasa.gov/eda/api/missions/RR-7/telemetry_data/?start=2018-06-29T00:00:00Z&end=2022-11-07T00:00:00Z,data/raw/environment/cabin/RR-7_telemetry.json,2026-09-19T19:00:51.627875+00:00,eda374efef290c0ec967182928ebc5f4998197062610ab4098757b928e9122b1,degC,not supplied by API,ISS label; module/hardware not supplied,E,not supplied,not supplied,public access; dataset-specific reuse terms unverified,43898,2018-07-01 00:02:00+00:00,2018-09-18 13:58:00+00:00,300.0,1166,21948,0,downloaded,20784.0,20.0,30.0
