lot_id,api,variable,expected_exposure_hours,observed_support_hours,coverage_percent,largest_missing_interval_hours,sensor_count,confidence,spatial_relevance_grade,gap_limit_seconds,status
DS01_01,Caffeine,temperature,4704.0,1803.8666666666666,38.34750566893424,2818.0333333333333,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_01,Caffeine,humidity,4704.0,1803.8666666666666,38.34750566893424,2818.0333333333333,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_01,Caffeine,co2,4704.0,1803.8666666666666,38.34750566893424,2818.0333333333333,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_01,Caffeine,pressure,4704.0,0.0,0.0,4704.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_01,Caffeine,oxygen,4704.0,0.0,0.0,4704.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_02,Diphenhydramine,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_02,Diphenhydramine,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_02,Diphenhydramine,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_02,Diphenhydramine,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_02,Diphenhydramine,oxygen,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_03,Diphenhydramine,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_03,Diphenhydramine,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_03,Diphenhydramine,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_03,Diphenhydramine,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_03,Diphenhydramine,oxygen,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_04,Epinephrine,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_04,Epinephrine,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_04,Epinephrine,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_04,Epinephrine,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_04,Epinephrine,oxygen,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_05,Lidocaine,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_05,Lidocaine,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_05,Lidocaine,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_05,Lidocaine,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_05,Lidocaine,oxygen,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_06,Naloxone,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_06,Naloxone,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_06,Naloxone,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_06,Naloxone,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_06,Naloxone,oxygen,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
DS01_07,Promethazine,temperature,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_07,Promethazine,humidity,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_07,Promethazine,co2,10104.0,2786.0,27.57323832145685,5069.35,,provisional window; sensor identity/location unknown,E,600,available timestamps only; not validated exposure
DS01_07,Promethazine,pressure,10104.0,0.0,0.0,10104.0,,provisional window; sensor identity/location unknown,E,600,no telemetry acquired; not proof no data exist
