sample_id,drug_name,formulation,mission,flight_percent_api_remaining,ground_control_percent_api_remaining,flight_api_percent,ground_control_api_percent,source_identifier,mapping_disagrees,relative_percent_diff_vs_control,recomputed_relative_delta,derived_stability_ratio,delta_arithmetic_ok,use_for_modeling
DS01_01,Caffeine,Tablet,SpX-15,96.2,101.5,96.2,101.5,Nowadly 2026 Figure 2A,False,-5.22,-5.221674876847294,94.77832512315271,True,False
DS01_02,Diphenhydramine,Capsule,SpX-15,93.4,99.8,95.4,96.8,Nowadly 2026 Figure 2B,True,-6.41,-6.412825651302601,93.5871743486974,True,False
DS01_03,Diphenhydramine,Solution,SpX-15,95.8,102.1,99.1,92.4,Nowadly 2026 Figure 3B,True,-6.17,-6.170421155729677,93.82957884427033,True,False
DS01_04,Epinephrine,Autoinjector,SpX-15,92.1,98.6,74.2,84.6,Nowadly 2026 Figure 3C,True,-6.59,-6.592292089249496,93.40770791075052,True,False
DS01_05,Lidocaine,Solution,SpX-15,93.8,94.2,95.1,98.5,Nowadly 2026 Figure 3E,True,-0.42,-0.4246284501061681,99.57537154989384,True,False
DS01_06,Naloxone,Solution,SpX-15,91.9,93.5,93.4,99.8,Nowadly 2026 Figure 2A,True,-1.71,-1.7112299465240621,98.28877005347593,True,False
DS01_07,Promethazine,Solution,SpX-15,95.4,96.8,93.1,96.4,Nowadly 2026 Figure 3F,True,-1.45,-1.4462809917355268,98.55371900826447,True,False
DS01_08,Promethazine,Tablet,SpX-15,94.1,95.2,99.5,103.2,Nowadly 2026 Figure 2C,True,-1.16,-1.1554621848739566,98.84453781512605,True,False
DS01_09,Caffeine,Tablet,SpX-16,93.9,94.7,77.2,79.5,Nowadly 2026 Figure 3G,True,-0.84,-0.8447729672650395,99.15522703273496,True,False
DS01_10,Promethazine,Tablet,SpX-16,99.1,92.4,98.9,102.8,Nowadly 2026 Figure 2C,True,7.25,7.2510822510822415,107.25108225108224,True,False
DS01_11,Epinephrine,Autoinjector,SpX-17,100.8,93.1,100.8,93.1,Nowadly 2026 Figure 3B,False,8.27,8.270676691729317,108.27067669172934,True,False
DS01_12,Diphenhydramine,Solution,NG-11,99.4,91.8,96.4,99.2,Nowadly 2026 Figure 3E,True,8.28,8.278867102396514,108.27886710239652,True,False
DS01_13,Lidocaine,Solution,NG-11,98.7,92.9,78.1,80.2,Nowadly 2026 Figure 3G,True,6.24,6.243272335844985,106.24327233584499,True,False
DS01_14,Promethazine,Solution,NG-11,74.2,84.6,76.5,86.1,Nowadly 2026 Figure 3C,True,-12.29,-12.29314420803782,87.70685579196218,True,False
DS01_15,Caffeine,Tablet,SpX-18,76.5,86.1,99.8,103.6,Nowadly 2026 Figure 2C,True,-11.15,-11.149825783972123,88.85017421602788,True,False
DS01_16,Diazepam,Solution,SpX-18,79.8,81.3,95.8,102.1,Nowadly 2026 Figure 2A,True,-1.85,-1.845018450184499,98.1549815498155,True,False
DS01_17,Diphenhydramine,Capsule,SpX-18,78.5,80.9,93.8,94.2,Nowadly 2026 Figure 3A,True,-2.97,-2.966625463535233,97.03337453646476,True,False
DS01_18,Diphenhydramine,Solution,SpX-18,95.1,98.5,94.1,95.2,Nowadly 2026 Figure 2B,True,-3.45,-3.4517766497461966,96.5482233502538,True,False
DS01_19,Ketamine,Solution,SpX-18,96.4,99.2,99.4,91.8,Nowadly 2026 Figure 3B,True,-2.82,-2.822580645161288,97.1774193548387,True,False
DS01_20,Lidocaine,Solution,SpX-18,94.8,97.9,79.8,81.3,Nowadly 2026 Figure 3D,True,-3.17,-3.166496424923404,96.8335035750766,True,False
DS01_21,Naloxone,Solution,SpX-18,95.3,98.1,94.8,97.9,Nowadly 2026 Figure 3E,True,-2.85,-2.854230377166156,97.14576962283385,True,False
DS01_22,Promethazine,Solution,SpX-18,93.1,96.4,92.5,95.8,Nowadly 2026 Figure 3F,True,-3.42,-3.4232365145228316,96.57676348547717,True,False
DS01_23,Promethazine,Tablet,SpX-18,92.5,95.8,76.4,78.9,Nowadly 2026 Figure 3G,True,-3.44,-3.4446764091857984,96.5553235908142,True,False
DS01_24,Caffeine,Tablet,SpX-20,91.8,95.1,92.1,98.6,Nowadly 2026 Figure 2A,True,-3.47,-3.4700315457413256,96.52996845425868,True,False
DS01_25,Diazepam,Solution,SpX-20,77.2,79.5,91.9,93.5,Nowadly 2026 Figure 3A,True,-2.89,-2.8930817610062887,97.10691823899371,True,False
DS01_26,Diphenhydramine,Capsule,SpX-20,78.1,80.2,93.9,94.7,Nowadly 2026 Figure 2B,True,-2.62,-2.6184538653366674,97.38154613466332,True,False
DS01_27,Diphenhydramine,Solution,SpX-20,76.4,78.9,98.7,92.9,Nowadly 2026 Figure 3B,True,-3.17,-3.168567807351075,96.83143219264893,True,False
DS01_28,Ketamine,Solution,SpX-20,75.8,79.1,78.5,80.9,Nowadly 2026 Figure 3D,True,-4.17,-4.171934260429833,95.82806573957018,True,False
DS01_29,Lidocaine,Solution,SpX-20,99.5,103.2,95.3,98.1,Nowadly 2026 Figure 3E,True,-3.59,-3.5852713178294637,96.41472868217053,True,False
DS01_30,Naloxone,Solution,SpX-20,98.9,102.8,91.8,95.1,Nowadly 2026 Figure 3F,True,-3.79,-3.7937743190661344,96.20622568093385,True,False
DS01_31,Promethazine,Solution,SpX-20,99.8,103.6,75.8,79.1,Nowadly 2026 Figure 3G,True,-3.67,-3.6679536679536606,96.33204633204633,True,False
DS01_32,Promethazine,Tablet,SpX-20,98.1,102.4,98.1,102.4,Nowadly 2026 Figure 2C,False,-4.2,-4.199218750000011,95.80078125,True,False
