lot_id,api,current_master_value,mapping_table_value,source_verified_value,source_location,resolution,disagreement_category,confidence,notes
DS01_01,Caffeine,"Flt=96.2%, Gnd=101.5%","Flt=96.2%, Gnd=101.5%","Flt=96.2%, Gnd=101.5% (Delta=-5.22%)","Nowadly et al. 2026 Figure 2A (Solid: Caffeine), Table 1",VERIFIED_ACCURATE,A,HIGH,Master dataset v1 and mapping table both matched verified source values.
DS01_02,Diphenhydramine,"Flt=93.4%, Gnd=99.8%","Flt=95.4%, Gnd=96.8%","Flt=95.4%, Gnd=96.8% (Delta=-1.45%)","Nowadly et al. 2026 Figure 2B (Solid: Diphenhydramine capsule), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_03,Diphenhydramine,"Flt=95.8%, Gnd=102.1%","Flt=99.1%, Gnd=92.4%","Flt=99.1%, Gnd=92.4% (Delta=7.25%)","Nowadly et al. 2026 Figure 3B (Nonsolid: Diphenhydramine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_04,Epinephrine,"Flt=92.1%, Gnd=98.6%","Flt=74.2%, Gnd=84.6%","Flt=74.2%, Gnd=84.6% (Delta=-12.29%)","Nowadly et al. 2026 Figure 3C (Nonsolid: Epinephrine autoinjector), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_05,Lidocaine,"Flt=93.8%, Gnd=94.2%","Flt=95.1%, Gnd=98.5%","Flt=95.1%, Gnd=98.5% (Delta=-3.45%)","Nowadly et al. 2026 Figure 3E (Nonsolid: Lidocaine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_06,Naloxone,"Flt=91.9%, Gnd=93.5%","Flt=93.4%, Gnd=99.8%","Flt=93.1%, Gnd=96.4% (Delta=-3.42%)","Nowadly et al. 2026 Figure 3F (Nonsolid: Naloxone solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_07,Promethazine,"Flt=95.4%, Gnd=96.8%","Flt=93.1%, Gnd=96.4%","Flt=77.2%, Gnd=79.5% (Delta=-2.89%)","Nowadly et al. 2026 Figure 3G (Nonsolid: Promethazine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_08,Promethazine,"Flt=94.1%, Gnd=95.2%","Flt=99.5%, Gnd=103.2%","Flt=99.5%, Gnd=103.2% (Delta=-3.59%)","Nowadly et al. 2026 Figure 2C (Solid: Promethazine tablet), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_09,Caffeine,"Flt=93.9%, Gnd=94.7%","Flt=77.2%, Gnd=79.5%","Flt=93.4%, Gnd=99.8% (Delta=-6.41%)","Nowadly et al. 2026 Figure 2A (Solid: Caffeine), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_10,Promethazine,"Flt=99.1%, Gnd=92.4%","Flt=98.9%, Gnd=102.8%","Flt=98.9%, Gnd=102.8% (Delta=-3.79%)","Nowadly et al. 2026 Figure 2C (Solid: Promethazine tablet), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
DS01_11,Epinephrine,"Flt=100.8%, Gnd=93.1%","Flt=100.8%, Gnd=93.1%","Flt=76.5%, Gnd=86.1% (Delta=-11.15%)","Nowadly et al. 2026 Figure 3C (Nonsolid: Epinephrine autoinjector), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_12,Diphenhydramine,"Flt=99.4%, Gnd=91.8%","Flt=96.4%, Gnd=99.2%","Flt=100.8%, Gnd=93.1% (Delta=8.27%)","Nowadly et al. 2026 Figure 3B (Nonsolid: Diphenhydramine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_13,Lidocaine,"Flt=98.7%, Gnd=92.9%","Flt=78.1%, Gnd=80.2%","Flt=96.4%, Gnd=99.2% (Delta=-2.82%)","Nowadly et al. 2026 Figure 3E (Nonsolid: Lidocaine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_14,Promethazine,"Flt=74.2%, Gnd=84.6%","Flt=76.5%, Gnd=86.1%","Flt=78.1%, Gnd=80.2% (Delta=-2.62%)","Nowadly et al. 2026 Figure 3G (Nonsolid: Promethazine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_15,Caffeine,"Flt=76.5%, Gnd=86.1%","Flt=99.8%, Gnd=103.6%","Flt=95.8%, Gnd=102.1% (Delta=-6.17%)","Nowadly et al. 2026 Figure 2A (Solid: Caffeine), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_16,Diazepam,"Flt=79.8%, Gnd=81.3%","Flt=95.8%, Gnd=102.1%","Flt=93.8%, Gnd=94.2% (Delta=-0.42%)","Nowadly et al. 2026 Figure 3A (Nonsolid: Diazepam solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_17,Diphenhydramine,"Flt=78.5%, Gnd=80.9%","Flt=93.8%, Gnd=94.2%","Flt=94.1%, Gnd=95.2% (Delta=-1.16%)","Nowadly et al. 2026 Figure 2B (Solid: Diphenhydramine capsule), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_18,Diphenhydramine,"Flt=95.1%, Gnd=98.5%","Flt=94.1%, Gnd=95.2%","Flt=99.4%, Gnd=91.8% (Delta=8.28%)","Nowadly et al. 2026 Figure 3B (Nonsolid: Diphenhydramine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_19,Ketamine,"Flt=96.4%, Gnd=99.2%","Flt=99.4%, Gnd=91.8%","Flt=79.8%, Gnd=81.3% (Delta=-1.85%)","Nowadly et al. 2026 Figure 3D (Nonsolid: Ketamine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_20,Lidocaine,"Flt=94.8%, Gnd=97.9%","Flt=79.8%, Gnd=81.3%","Flt=94.8%, Gnd=97.9% (Delta=-3.17%)","Nowadly et al. 2026 Figure 3E (Nonsolid: Lidocaine solution), Table 1",RECONCILED_TO_SOURCE,C,HIGH,"Master v1 happened to match by coincidence, but mapping table had incorrect lot/panel association."
DS01_21,Naloxone,"Flt=95.3%, Gnd=98.1%","Flt=94.8%, Gnd=97.9%","Flt=92.5%, Gnd=95.8% (Delta=-3.44%)","Nowadly et al. 2026 Figure 3F (Nonsolid: Naloxone solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_22,Promethazine,"Flt=93.1%, Gnd=96.4%","Flt=92.5%, Gnd=95.8%","Flt=76.4%, Gnd=78.9% (Delta=-3.17%)","Nowadly et al. 2026 Figure 3G (Nonsolid: Promethazine solution), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_23,Promethazine,"Flt=92.5%, Gnd=95.8%","Flt=76.4%, Gnd=78.9%","Flt=99.8%, Gnd=103.6% (Delta=-3.67%)","Nowadly et al. 2026 Figure 2C (Solid: Promethazine tablet), Table 1",RECONCILED_TO_SOURCE,B,HIGH,Both master v1 (positional assignment error) and old mapping table (wrong sample_id assignment in outcomes_list) contained mismatched values; resolved to verified figure panel.
DS01_24,Caffeine,"Flt=91.8%, Gnd=95.1%","Flt=92.1%, Gnd=98.6%","Flt=92.1%, Gnd=98.6% (Delta=-6.59%)","Nowadly et al. 2026 Figure 2A (Solid: Caffeine), Table 1",RECONCILED_TO_SOURCE,B,HIGH,"Mapping table had correct value for this drug lot, but master_dataset_v1 had corrupted value due to positional vector assignment from drug-grouped list."
