,cumulative_dose_combined_mGy,days_in_space,mean_dose_rate_uGy_h,tpsa,xlogp,molecular_weight,hba,hbd,rotatable_bonds,heavy_atom_count,complexity,is_solid
cumulative_dose_combined_mGy,1.0,0.9877879192514556,-0.3824020601639738,-0.04037571846725618,0.04887511677441775,0.21411087681378832,0.005326881312268196,0.10867089503855859,0.07187074283488953,0.21877790008476383,0.17847750366603765,-0.24242835441886293
days_in_space,0.9877879192514556,1.0,-0.3529754619646226,-0.038105229806686444,0.04484782829304958,0.20880428722620992,-0.020948947933147694,0.07771553700350783,0.01916526299509294,0.2069294542799856,0.18983034989643946,-0.22961496299395676
mean_dose_rate_uGy_h,-0.3824020601639738,-0.3529754619646226,1.0,-0.018039504932074422,-0.0699254787862813,-0.022465940077335017,-0.08019379317750819,0.13403950072623336,0.06368396932175092,-0.020803115544394825,-0.03532361381039229,-0.33695090955431395
tpsa,-0.04037571846725618,-0.038105229806686444,-0.018039504932074422,1.0,-0.6763690600750683,-0.15999015160917388,0.832187302135341,0.6609617937530559,-0.7022637330960766,-0.17686053009851993,0.48991170739890033,-0.028831944890808987
xlogp,0.04887511677441775,0.04484782829304958,-0.0699254787862813,-0.6763690600750683,1.0,0.7303685892228888,-0.2696078321551561,-0.5995242802382252,0.3924807707365123,0.6936266927269754,0.08205187257350571,-0.0088523693372838
molecular_weight,0.21411087681378832,0.20880428722620992,-0.022465940077335017,-0.15999015160917388,0.7303685892228888,1.0,0.2919714565293703,-0.18913047755307236,0.10473925993600429,0.9852936920430789,0.6880949128985279,-0.20950314965557928
hba,0.005326881312268196,-0.020948947933147694,-0.08019379317750819,0.832187302135341,-0.2696078321551561,0.2919714565293703,1.0,0.5725221130802461,-0.4631927847500262,0.2911453233370174,0.6609124679841736,-0.04216510376897219
hbd,0.10867089503855859,0.07771553700350783,0.13403950072623336,0.6609617937530559,-0.5995242802382252,-0.18913047755307236,0.5725221130802461,1.0,-0.07273929674533082,-0.18512284926368636,0.099185022835071,-0.41785544701867255
rotatable_bonds,0.07187074283488953,0.01916526299509294,0.06368396932175092,-0.7022637330960766,0.3924807707365123,0.10473925993600429,-0.4631927847500262,-0.07273929674533082,1.0,0.19395967059985444,-0.4983460557686766,-0.19065648033243102
heavy_atom_count,0.21877790008476383,0.2069294542799856,-0.020803115544394825,-0.17686053009851993,0.6936266927269754,0.9852936920430789,0.2911453233370174,-0.18512284926368636,0.19395967059985444,1.0,0.6751254238130329,-0.19629717084904763
complexity,0.17847750366603765,0.18983034989643946,-0.03532361381039229,0.48991170739890033,0.08205187257350571,0.6880949128985279,0.6609124679841736,0.099185022835071,-0.4983460557686766,0.6751254238130329,1.0,-0.13361148711262252
is_solid,-0.24242835441886293,-0.22961496299395676,-0.33695090955431395,-0.028831944890808987,-0.0088523693372838,-0.20950314965557928,-0.04216510376897219,-0.41785544701867255,-0.19065648033243102,-0.19629717084904763,-0.13361148711262252,1.0
