model_family,feature_set,features,hyperparameters_selected_on_full_group_cv,training_r2,training_rmse_percent,training_mae_percent,lodo_r2,lodo_rmse_percent,lodo_mae_percent,lodo_median_absolute_error_percent,lodo_max_absolute_error_percent,complexity_note
OLS,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""label"": ""ordinary_least_squares""}",0.7322778230366259,2.3379928683331705,1.764671820960507,0.3625762840074286,3.607572910286074,2.7708450949306878,2.1265832630874173,7.453216736912583,Small predeclared feature set; nested group tuning
Ridge,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""alpha"": 0.1}",0.731946156141514,2.3394406281555646,1.770979863721781,-0.3494374076546911,5.249009764999885,4.3693938095923786,4.05498316232978,10.598952421119563,Small predeclared feature set; nested group tuning
ElasticNet,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""alpha"": 0.05, ""l1_ratio"": 0.8}",0.72208762882923,2.38207234989524,1.8201913407225616,-0.4429939762976294,5.427917864483245,4.451049556550085,4.099522552953481,10.14059452523323,Small predeclared feature set; nested group tuning
PLS,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""n_components"": 1}",0.47305821335447096,3.2800640780770647,2.4078874061506457,-0.7957447240851956,6.05512771547045,4.667219669505616,3.3582811931396153,10.934484371718844,Small predeclared feature set; nested group tuning
RandomForest,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""max_depth"": 2, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 50}",0.6144115964236383,2.805840568946103,1.8874045160202368,-0.12363131201314603,4.789750867366178,3.3641123826354886,2.389376121669791,11.524786981132344,Small predeclared feature set; nested group tuning
GradientBoosting,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""learning_rate"": 0.05, ""max_depth"": 1, ""min_samples_leaf"": 5, ""n_estimators"": 40}",0.6634121334828746,2.6215022592119452,1.7134933374447596,-0.08438625526912014,4.705361669011912,3.3171965024274765,2.2943810827064928,11.465293143327143,Small predeclared feature set; nested group tuning
GPR,FS-A_Chemistry_Core,"tpsa, xlogp, molecular_weight","{""kernel"": ""RBF"", ""length_scale"": 0.75, ""noise"": 0.3}",0.784277680284721,2.0986912365530013,1.3025771898087184,-0.18161822506450886,4.911787828793187,3.42166159446837,2.1870721277848073,11.766872127784808,Small predeclared feature set; nested group tuning
OLS,FS-B_Chemistry_Extended,"tpsa, xlogp, rotatable_bonds","{""label"": ""ordinary_least_squares""}",0.5568063521217517,3.008138110215008,2.496038521605922,-1.0725230899489042,6.505050868874561,5.421713073573568,6.5222542076247,11.28357957047668,Small predeclared feature set; nested group tuning
Ridge,FS-B_Chemistry_Extended,"tpsa, xlogp, rotatable_bonds","{""alpha"": 10.0}",0.5335342352106396,3.0861064041500654,2.506447177423041,-0.7262589468085718,5.9368213366137095,4.843786718478013,4.665859578306476,11.125900686233408,Small predeclared feature set; nested group tuning
ElasticNet,FS-B_Chemistry_Extended,"tpsa, xlogp, rotatable_bonds","{""alpha"": 0.2, ""l1_ratio"": 0.2}",0.5456434836198891,3.0457860184590273,2.5092601881719654,-0.7782207959320517,6.025510542597934,5.0046617212608036,5.503628155468906,11.116686776786814,Small predeclared feature set; nested group tuning
