validation_type,model,held_out_pair,r2,rmse,mae,median_ae,max_ae,worst_pair_mae,empirical_interval_coverage,mean_interval_width
LODO,A,Caffeine,-44.179533394697685,3.551268477000441,3.5117468218447967,3.319446821844797,4.389346821844796,3.5117468218447967,1.0,38.377022135611725
LODO,A,Diazepam,-10.222083844678307,2.1550150425074124,2.056758358056003,2.056758358056003,2.700058358056003,2.056758358056003,1.0,51.01069190144895
LODO,A,Diphenhydramine,-0.4705073976991041,5.257549329886318,4.6664166767017985,5.4176167369125885,7.453216736912589,4.6664166767017985,1.0,26.3075642008224
LODO,A,Epinephrine,-31.24909317539499,3.2463023141883935,3.195574282129101,3.195574282129101,3.767224282129101,3.195574282129101,1.0,88.9069246621667
LODO,A,Ketamine,-10.659095723972365,1.914875043084451,1.8309150145836037,1.8309150145836037,2.3917150145836037,1.8309150145836037,1.0,22.242389106325486
LODO,A,Lidocaine,-14.621401028303847,1.01308307865566,0.9801207080678532,0.9166957080678533,1.3581457080678532,0.9801207080678532,1.0,46.45958229860116
LODO,A,Naloxone,-116385.3181112546,6.52526085716764,6.525232824341363,6.526499491008029,6.54799949100803,6.525232824341362,1.0,129.91357450093471
LODO,A,Promethazine,-0.28954561437516757,0.6110197217641573,0.5365577998321892,0.5081311993287567,0.9764311993287569,0.5365577998321892,1.0,194.12996168008166
LODO,B,Caffeine,-34.80236602014943,3.1613202977121246,3.133190557461967,2.971391482610873,3.8439877646354166,3.133190557461967,1.0,32.66982694072969
LODO,B,Diazepam,-8.608421193412523,1.994066179355525,1.4652659726008377,1.4652659726008377,2.8177805038305994,1.4652659726008377,1.0,42.095859816324854
LODO,B,Diphenhydramine,-0.3350167341022052,5.009485272447225,4.528181981680621,5.597410932563964,6.902591379587221,4.528181981680621,1.0,24.918728624671797
LODO,B,Epinephrine,-22.23524850979899,2.7555219108627482,2.751426183008002,2.751426183008002,2.9016092736097985,2.751426183008002,1.0,77.57768710575965
LODO,B,Ketamine,-7.48055133456122,1.6331273373705493,1.6323754154804915,1.6323754154804915,1.6819274386673702,1.6323754154804915,1.0,19.563793831910452
LODO,B,Lidocaine,-22.117650014275856,1.2324148222053837,1.075677570712386,1.0578478973947816,1.868950632566833,1.075677570712386,1.0,38.2675717647821
LODO,B,Naloxone,-72608.17212642982,5.153979131161584,5.109211513195541,5.13586108303039,5.925739273697838,5.1092115131955405,1.0,112.7810244287985
LODO,B,Promethazine,-0.44149795922649937,0.6460169152114495,0.5076165418386173,0.4503451940990937,1.4474114051552154,0.5076165418386173,1.0,152.10604047980382
LTDO,A,Caffeine + Diazepam,-0.8344587857823571,3.3036769672204453,3.1917895775422616,3.2372717525469095,4.518121752546909,3.1917895775422616,1.0,49.84049864801668
LTDO,A,Caffeine + Diphenhydramine,0.43330125200112923,4.436928680601402,4.080315095011762,3.103544519149273,6.973187968532288,4.080315095011762,0.6363636363636364,21.760681646865702
