validation_type,model,test_api,count,mean,median,max
LODO,A,Caffeine,4,3.5117468218447967,3.319446821844797,4.389346821844796
LODO,A,Diazepam,2,2.056758358056003,2.056758358056003,2.700058358056003
LODO,A,Diphenhydramine,7,4.6664166767017985,5.4176167369125885,7.453216736912589
LODO,A,Epinephrine,2,3.195574282129101,3.195574282129101,3.767224282129101
LODO,A,Ketamine,2,1.8309150145836037,1.8309150145836037,2.3917150145836037
LODO,A,Lidocaine,4,0.9801207080678532,0.9166957080678533,1.3581457080678532
LODO,A,Naloxone,3,6.525232824341362,6.526499491008029,6.54799949100803
LODO,A,Promethazine,8,0.5365577998321892,0.5081311993287567,0.9764311993287569
LODO,B,Caffeine,4,3.133190557461967,2.971391482610873,3.8439877646354166
LODO,B,Diazepam,2,1.4652659726008377,1.4652659726008377,2.8177805038305994
LODO,B,Diphenhydramine,7,4.528181981680621,5.597410932563964,6.902591379587221
LODO,B,Epinephrine,2,2.751426183008002,2.751426183008002,2.9016092736097985
LODO,B,Ketamine,2,1.6323754154804915,1.6323754154804915,1.6819274386673702
LODO,B,Lidocaine,4,1.075677570712386,1.0578478973947816,1.868950632566833
LODO,B,Naloxone,3,5.1092115131955405,5.13586108303039,5.925739273697838
LODO,B,Promethazine,8,0.5076165418386173,0.4503451940990937,1.4474114051552154
LTDO,A,Caffeine,28,3.595435891194154,3.3255041766324682,5.617981266672144
LTDO,A,Diazepam,14,2.11943333070921,2.131941236141839,4.11663990437963
LTDO,A,Diphenhydramine,49,4.688625826799998,5.183309371530024,9.121607905604401
LTDO,A,Epinephrine,14,3.50950752862671,3.364172366002127,6.147643717988581
LTDO,A,Ketamine,14,1.6838678576874742,1.5143680681644491,2.652579165799318
LTDO,A,Lidocaine,28,1.351565329709395,1.1612388420219533,4.161369368376173
LTDO,A,Naloxone,21,7.2444355218313,6.691562690530522,14.723286691678377
LTDO,A,Promethazine,56,4.8911438630928865,2.523638463405031,13.504657432938892
LTDO,B,Caffeine,28,3.23858639755548,2.9569720969722275,5.093424603779598
LTDO,B,Diazepam,14,1.6934213670859883,1.169342121547995,4.421440141928546
LTDO,B,Diphenhydramine,49,4.5614214532502135,5.434166085024815,8.500643008261488
LTDO,B,Epinephrine,14,3.1344277645888465,2.900796026591806,5.018506276374216
LTDO,B,Ketamine,14,1.488555172928043,1.6908379855716298,1.9431615486764724
LTDO,B,Lidocaine,28,1.3309586370572668,1.0667199611927853,4.272303858587998
LTDO,B,Naloxone,21,5.6995994703235775,4.803011245876574,12.642446967918884
LTDO,B,Promethazine,56,4.343701045986999,2.1922610461651812,11.347201446104114
