lot_id,api,mission,formulation,old_flight_api_pct,corrected_flight_api_pct,old_ground_api_pct,corrected_ground_api_pct,old_delta_api_pct,corrected_delta_api_pct,delta_shift_pct
DS01_01,Caffeine,SpX-15,Tablet,96.2,96.2,101.5,101.5,-5.22,-5.2217,-0.0017
DS01_02,Diphenhydramine,SpX-15,Capsule,93.4,95.4,99.8,96.8,-6.41,-1.4463,4.9637
DS01_03,Diphenhydramine,SpX-15,Solution,95.8,99.1,102.1,92.4,-6.17,7.2511,13.4211
DS01_04,Epinephrine,SpX-15,Autoinjector,92.1,74.2,98.6,84.6,-6.59,-12.2931,-5.7031
DS01_05,Lidocaine,SpX-15,Solution,93.8,95.1,94.2,98.5,-0.42,-3.4518,-3.0318
DS01_06,Naloxone,SpX-15,Solution,91.9,93.1,93.5,96.4,-1.71,-3.4232,-1.7132
DS01_07,Promethazine,SpX-15,Solution,95.4,77.2,96.8,79.5,-1.45,-2.8931,-1.4431
DS01_08,Promethazine,SpX-15,Tablet,94.1,99.5,95.2,103.2,-1.16,-3.5853,-2.4253
DS01_09,Caffeine,SpX-16,Tablet,93.9,93.4,94.7,99.8,-0.84,-6.4128,-5.5728
DS01_10,Promethazine,SpX-16,Tablet,99.1,98.9,92.4,102.8,7.25,-3.7938,-11.0438
DS01_11,Epinephrine,SpX-17,Autoinjector,100.8,76.5,93.1,86.1,8.27,-11.1498,-19.4198
DS01_12,Diphenhydramine,NG-11,Solution,99.4,100.8,91.8,93.1,8.28,8.2707,-0.0093
DS01_13,Lidocaine,NG-11,Solution,98.7,96.4,92.9,99.2,6.24,-2.8226,-9.0626
DS01_14,Promethazine,NG-11,Solution,74.2,78.1,84.6,80.2,-12.29,-2.6185,9.6715
DS01_15,Caffeine,SpX-18,Tablet,76.5,95.8,86.1,102.1,-11.15,-6.1704,4.9796
DS01_16,Diazepam,SpX-18,Solution,79.8,93.8,81.3,94.2,-1.85,-0.4246,1.4254
DS01_17,Diphenhydramine,SpX-18,Capsule,78.5,94.1,80.9,95.2,-2.97,-1.1555,1.8145
DS01_18,Diphenhydramine,SpX-18,Solution,95.1,99.4,98.5,91.8,-3.45,8.2789,11.7289
DS01_19,Ketamine,SpX-18,Solution,96.4,79.8,99.2,81.3,-2.82,-1.845,0.975
DS01_20,Lidocaine,SpX-18,Solution,94.8,94.8,97.9,97.9,-3.17,-3.1665,0.0035
DS01_21,Naloxone,SpX-18,Solution,95.3,92.5,98.1,95.8,-2.85,-3.4447,-0.5947
DS01_22,Promethazine,SpX-18,Solution,93.1,76.4,96.4,78.9,-3.42,-3.1686,0.2514
DS01_23,Promethazine,SpX-18,Tablet,92.5,99.8,95.8,103.6,-3.44,-3.668,-0.228
DS01_24,Caffeine,SpX-20,Tablet,91.8,92.1,95.1,98.6,-3.47,-6.5923,-3.1223
DS01_25,Diazepam,SpX-20,Solution,77.2,91.9,79.5,93.5,-2.89,-1.7112,1.1788
DS01_26,Diphenhydramine,SpX-20,Capsule,78.1,93.9,80.2,94.7,-2.62,-0.8448,1.7752
DS01_27,Diphenhydramine,SpX-20,Solution,76.4,98.7,78.9,92.9,-3.17,6.2433,9.4133
DS01_28,Ketamine,SpX-20,Solution,75.8,78.5,79.1,80.9,-4.17,-2.9666,1.2034
DS01_29,Lidocaine,SpX-20,Solution,99.5,95.3,103.2,98.1,-3.59,-2.8542,0.7358
DS01_30,Naloxone,SpX-20,Solution,98.9,91.8,102.8,95.1,-3.79,-3.47,0.32
DS01_31,Promethazine,SpX-20,Solution,99.8,75.8,103.6,79.1,-3.67,-4.1719,-0.5019
DS01_32,Promethazine,SpX-20,Tablet,98.1,98.1,102.4,102.4,-4.2,-4.1992,0.0008
