feature,spearman_rho,ci_95_low,ci_95_high,p_value,is_significant_p05
days_in_space,0.0297,-0.3224,0.3745,0.87202,False
iss_storage_days,0.0297,-0.3224,0.3745,0.87202,False
cumulative_dose_combined_mGy,0.0297,-0.3224,0.3745,0.87202,False
mean_dose_rate_uGy_h,0.2398,-0.1188,0.5431,0.18619,False
is_solid,-0.3456,-0.6196,0.0035,0.05269,False
molecular_weight,0.2973,-0.0574,0.5853,0.09845,False
xlogp,0.393,0.0513,0.6523,0.02609,True
tpsa,-0.7035,-0.8449,-0.4701,1e-05,True
hbd,-0.2577,-0.5564,0.1,0.15448,False
hba,-0.7435,-0.8674,-0.5331,0.0,True
rotatable_bonds,0.5853,0.2973,0.7757,0.00043,True
complexity,-0.2351,-0.5396,0.1237,0.1952,False
